PatchID,PatchMonth,PatchReleaseDate,DeviceID,PatchStatus,InstallDate,DaysToInstall
P00001,2025-02,2025-02-09,D001,Installed,2025-02-11,2
P00002,2025-03,2025-03-12,D001,Failed,,
P00003,2025-04,2025-04-13,D001,Installed,2025-04-19,6
P00004,2025-05,2025-05-12,D001,Installed,2025-05-16,4
P00005,2025-06,2025-06-11,D001,Installed,2025-06-17,6
P00006,2025-02,2025-02-13,D002,Installed,2025-02-19,6
P00007,2025-03,2025-03-11,D002,Installed,2025-03-18,7
P00008,2025-04,2025-04-12,D002,Installed,2025-04-14,2
P00009,2025-05,2025-05-13,D002,Installed,2025-05-15,2
P00010,2025-06,2025-06-12,D002,Installed,2025-06-15,3
P00011,2025-02,2025-02-09,D003,Failed,,
P00012,2025-03,2025-03-11,D003,Pending,,
P00013,2025-04,2025-04-11,D003,Installed,2025-04-17,6
P00014,2025-05,2025-05-09,D003,Installed,2025-05-13,4
P00015,2025-06,2025-06-13,D003,Failed,,
P00016,2025-02,2025-02-13,D004,Installed,2025-02-19,6
P00017,2025-03,2025-03-13,D004,Failed,,
P00018,2025-04,2025-04-12,D004,Installed,2025-04-12,0
P00019,2025-05,2025-05-13,D004,Installed,2025-05-20,7
P00020,2025-06,2025-06-09,D004,Installed,2025-06-12,3
P00021,2025-02,2025-02-09,D005,Installed,2025-02-15,6
P00022,2025-03,2025-03-13,D005,Pending,,
P00023,2025-04,2025-04-10,D005,Failed,,
P00024,2025-05,2025-05-12,D005,Installed,2025-05-17,5
P00025,2025-06,2025-06-13,D005,Installed,2025-06-14,1
P00026,2025-02,2025-02-10,D006,Installed,2025-02-15,5
P00027,2025-03,2025-03-09,D006,Pending,,
P00028,2025-04,2025-04-09,D006,Installed,2025-04-13,4
P00029,2025-05,2025-05-11,D006,Failed,,
P00030,2025-06,2025-06-10,D006,Installed,2025-06-13,3
P00031,2025-02,2025-02-13,D007,Failed,,
P00032,2025-03,2025-03-10,D007,Installed,2025-03-11,1
P00033,2025-04,2025-04-11,D007,Installed,2025-04-11,0
P00034,2025-05,2025-05-12,D007,Installed,2025-05-12,0
P00035,2025-06,2025-06-11,D007,Installed,2025-06-11,0
P00036,2025-02,2025-02-11,D008,Installed,2025-02-12,1
P00037,2025-03,2025-03-13,D008,Installed,2025-03-13,0
P00038,2025-04,2025-04-10,D008,Installed,2025-04-14,4
P00039,2025-05,2025-05-13,D008,Installed,2025-05-15,2
P00040,2025-06,2025-06-13,D008,Installed,2025-06-14,1
P00041,2025-02,2025-02-10,D009,Installed,2025-02-11,1
P00042,2025-03,2025-03-09,D009,Installed,2025-03-11,2
P00043,2025-04,2025-04-13,D009,Installed,2025-04-20,7
P00044,2025-05,2025-05-13,D009,Installed,2025-05-13,0
P00045,2025-06,2025-06-09,D009,Installed,2025-06-14,5
P00046,2025-02,2025-02-10,D010,Installed,2025-02-15,5
P00047,2025-03,2025-03-11,D010,Installed,2025-03-15,4
P00048,2025-04,2025-04-09,D010,Pending,,
P00049,2025-05,2025-05-11,D010,Installed,2025-05-17,6
P00050,2025-06,2025-06-09,D010,Installed,2025-06-15,6
P00051,2025-02,2025-02-13,D011,Installed,2025-02-13,0
P00052,2025-03,2025-03-12,D011,Installed,2025-03-15,3
P00053,2025-04,2025-04-10,D011,Installed,2025-04-12,2
P00054,2025-05,2025-05-13,D011,Failed,,
P00055,2025-06,2025-06-09,D011,Failed,,
P00056,2025-02,2025-02-11,D012,Installed,2025-02-15,4
P00057,2025-03,2025-03-12,D012,Pending,,
P00058,2025-04,2025-04-10,D012,Installed,2025-04-13,3
P00059,2025-05,2025-05-12,D012,Installed,2025-05-19,7
P00060,2025-06,2025-06-09,D012,Installed,2025-06-12,3
P00061,2025-02,2025-02-09,D013,Installed,2025-02-14,5
P00062,2025-03,2025-03-12,D013,Installed,2025-03-16,4
P00063,2025-04,2025-04-12,D013,Installed,2025-04-13,1
P00064,2025-05,2025-05-11,D013,Installed,2025-05-17,6
P00065,2025-06,2025-06-11,D013,Installed,2025-06-12,1
P00066,2025-02,2025-02-09,D014,Installed,2025-02-14,5
P00067,2025-03,2025-03-13,D014,Installed,2025-03-16,3
P00068,2025-04,2025-04-12,D014,Installed,2025-04-15,3
P00069,2025-05,2025-05-12,D014,Installed,2025-05-12,0
P00070,2025-06,2025-06-11,D014,Pending,,
P00071,2025-02,2025-02-10,D015,Installed,2025-02-14,4
P00072,2025-03,2025-03-13,D015,Pending,,
P00073,2025-04,2025-04-13,D015,Installed,2025-04-16,3
P00074,2025-05,2025-05-10,D015,Installed,2025-05-13,3
P00075,2025-06,2025-06-12,D015,Installed,2025-06-15,3
P00076,2025-02,2025-02-11,D016,Pending,,
P00077,2025-03,2025-03-10,D016,Pending,,
P00078,2025-04,2025-04-11,D016,Installed,2025-04-18,7
P00079,2025-05,2025-05-13,D016,Pending,,
P00080,2025-06,2025-06-12,D016,Installed,2025-06-15,3
P00081,2025-02,2025-02-10,D017,Pending,,
P00082,2025-03,2025-03-13,D017,Installed,2025-03-17,4
P00083,2025-04,2025-04-12,D017,Installed,2025-04-14,2
P00084,2025-05,2025-05-11,D017,Installed,2025-05-12,1
P00085,2025-06,2025-06-10,D017,Pending,,
P00086,2025-02,2025-02-11,D018,Installed,2025-02-12,1
P00087,2025-03,2025-03-09,D018,Installed,2025-03-14,5
P00088,2025-04,2025-04-13,D018,Installed,2025-04-16,3
P00089,2025-05,2025-05-09,D018,Installed,2025-05-10,1
P00090,2025-06,2025-06-10,D018,Installed,2025-06-16,6
P00091,2025-02,2025-02-11,D019,Installed,2025-02-18,7
P00092,2025-03,2025-03-10,D019,Pending,,
P00093,2025-04,2025-04-09,D019,Installed,2025-04-14,5
P00094,2025-05,2025-05-12,D019,Installed,2025-05-19,7
P00095,2025-06,2025-06-10,D019,Failed,,
P00096,2025-02,2025-02-11,D020,Pending,,
P00097,2025-03,2025-03-10,D020,Installed,2025-03-14,4
P00098,2025-04,2025-04-13,D020,Pending,,
P00099,2025-05,2025-05-12,D020,Installed,2025-05-14,2
P00100,2025-06,2025-06-12,D020,Installed,2025-06-16,4
P00101,2025-02,2025-02-10,D021,Installed,2025-02-10,0
P00102,2025-03,2025-03-13,D021,Installed,2025-03-15,2
P00103,2025-04,2025-04-13,D021,Failed,,
P00104,2025-05,2025-05-13,D021,Installed,2025-05-19,6
P00105,2025-06,2025-06-13,D021,Installed,2025-06-13,0
P00106,2025-02,2025-02-09,D022,Failed,,
P00107,2025-03,2025-03-09,D022,Pending,,
P00108,2025-04,2025-04-10,D022,Installed,2025-04-10,0
P00109,2025-05,2025-05-11,D022,Installed,2025-05-16,5
P00110,2025-06,2025-06-09,D022,Installed,2025-06-15,6
P00111,2025-02,2025-02-13,D023,Failed,,
P00112,2025-03,2025-03-13,D023,Installed,2025-03-19,6
P00113,2025-04,2025-04-12,D023,Failed,,
P00114,2025-05,2025-05-13,D023,Installed,2025-05-16,3
P00115,2025-06,2025-06-12,D023,Installed,2025-06-14,2
P00116,2025-02,2025-02-12,D024,Installed,2025-02-12,0
P00117,2025-03,2025-03-13,D024,Installed,2025-03-15,2
P00118,2025-04,2025-04-10,D024,Installed,2025-04-13,3
P00119,2025-05,2025-05-09,D024,Installed,2025-05-14,5
P00120,2025-06,2025-06-12,D024,Installed,2025-06-16,4
P00121,2025-02,2025-02-10,D025,Installed,2025-02-17,7
P00122,2025-03,2025-03-12,D025,Installed,2025-03-15,3
P00123,2025-04,2025-04-09,D025,Installed,2025-04-16,7
P00124,2025-05,2025-05-10,D025,Failed,,
P00125,2025-06,2025-06-11,D025,Installed,2025-06-13,2
P00126,2025-02,2025-02-13,D026,Installed,2025-02-18,5
P00127,2025-03,2025-03-09,D026,Installed,2025-03-11,2
P00128,2025-04,2025-04-10,D026,Installed,2025-04-17,7
P00129,2025-05,2025-05-12,D026,Pending,,
P00130,2025-06,2025-06-11,D026,Installed,2025-06-18,7
P00131,2025-02,2025-02-10,D027,Installed,2025-02-14,4
P00132,2025-03,2025-03-11,D027,Installed,2025-03-15,4
P00133,2025-04,2025-04-12,D027,Pending,,
P00134,2025-05,2025-05-11,D027,Installed,2025-05-16,5
P00135,2025-06,2025-06-11,D027,Installed,2025-06-12,1
P00136,2025-02,2025-02-09,D028,Installed,2025-02-16,7
P00137,2025-03,2025-03-09,D028,Failed,,
P00138,2025-04,2025-04-13,D028,Installed,2025-04-20,7
P00139,2025-05,2025-05-12,D028,Installed,2025-05-17,5
P00140,2025-06,2025-06-09,D028,Installed,2025-06-10,1
P00141,2025-02,2025-02-11,D029,Installed,2025-02-15,4
P00142,2025-03,2025-03-10,D029,Installed,2025-03-10,0
P00143,2025-04,2025-04-09,D029,Installed,2025-04-11,2
P00144,2025-05,2025-05-11,D029,Installed,2025-05-13,2
P00145,2025-06,2025-06-09,D029,Installed,2025-06-13,4
P00146,2025-02,2025-02-13,D030,Installed,2025-02-15,2
P00147,2025-03,2025-03-11,D030,Installed,2025-03-16,5
P00148,2025-04,2025-04-10,D030,Installed,2025-04-15,5
P00149,2025-05,2025-05-11,D030,Installed,2025-05-11,0
P00150,2025-06,2025-06-09,D030,Installed,2025-06-15,6
P00151,2025-02,2025-02-09,D031,Failed,,
P00152,2025-03,2025-03-12,D031,Installed,2025-03-14,2
P00153,2025-04,2025-04-11,D031,Installed,2025-04-12,1
P00154,2025-05,2025-05-10,D031,Installed,2025-05-12,2
P00155,2025-06,2025-06-10,D031,Installed,2025-06-16,6
P00156,2025-02,2025-02-09,D032,Failed,,
P00157,2025-03,2025-03-12,D032,Installed,2025-03-17,5
P00158,2025-04,2025-04-09,D032,Installed,2025-04-15,6
P00159,2025-05,2025-05-10,D032,Installed,2025-05-10,0
P00160,2025-06,2025-06-13,D032,Installed,2025-06-18,5
P00161,2025-02,2025-02-09,D033,Installed,2025-02-11,2
P00162,2025-03,2025-03-10,D033,Installed,2025-03-10,0
P00163,2025-04,2025-04-12,D033,Failed,,
P00164,2025-05,2025-05-13,D033,Installed,2025-05-14,1
P00165,2025-06,2025-06-13,D033,Installed,2025-06-20,7
P00166,2025-02,2025-02-12,D034,Pending,,
P00167,2025-03,2025-03-12,D034,Pending,,
P00168,2025-04,2025-04-09,D034,Installed,2025-04-14,5
P00169,2025-05,2025-05-13,D034,Installed,2025-05-19,6
P00170,2025-06,2025-06-11,D034,Installed,2025-06-13,2
P00171,2025-02,2025-02-11,D035,Pending,,
P00172,2025-03,2025-03-10,D035,Installed,2025-03-17,7
P00173,2025-04,2025-04-09,D035,Installed,2025-04-14,5
P00174,2025-05,2025-05-13,D035,Installed,2025-05-19,6
P00175,2025-06,2025-06-11,D035,Installed,2025-06-18,7
P00176,2025-02,2025-02-12,D036,Installed,2025-02-15,3
P00177,2025-03,2025-03-10,D036,Pending,,
P00178,2025-04,2025-04-13,D036,Installed,2025-04-16,3
P00179,2025-05,2025-05-11,D036,Installed,2025-05-14,3
P00180,2025-06,2025-06-13,D036,Installed,2025-06-20,7
P00181,2025-02,2025-02-10,D037,Installed,2025-02-13,3
P00182,2025-03,2025-03-13,D037,Installed,2025-03-14,1
P00183,2025-04,2025-04-13,D037,Pending,,
P00184,2025-05,2025-05-12,D037,Installed,2025-05-19,7
P00185,2025-06,2025-06-10,D037,Pending,,
P00186,2025-02,2025-02-13,D038,Installed,2025-02-19,6
P00187,2025-03,2025-03-13,D038,Installed,2025-03-16,3
P00188,2025-04,2025-04-13,D038,Installed,2025-04-14,1
P00189,2025-05,2025-05-10,D038,Installed,2025-05-10,0
P00190,2025-06,2025-06-12,D038,Installed,2025-06-17,5
P00191,2025-02,2025-02-09,D039,Installed,2025-02-12,3
P00192,2025-03,2025-03-12,D039,Installed,2025-03-14,2
P00193,2025-04,2025-04-12,D039,Pending,,
P00194,2025-05,2025-05-13,D039,Pending,,
P00195,2025-06,2025-06-13,D039,Installed,2025-06-18,5
P00196,2025-02,2025-02-10,D040,Installed,2025-02-15,5
P00197,2025-03,2025-03-09,D040,Pending,,
P00198,2025-04,2025-04-10,D040,Installed,2025-04-15,5
P00199,2025-05,2025-05-12,D040,Installed,2025-05-17,5
P00200,2025-06,2025-06-09,D040,Installed,2025-06-14,5
